,Node Number,Thread Number,T/R,Processor Utilization ,Channel Waiting Time,Input Waiting Time,Network Response Time,Channel Utilization
340,16,8,"0,1","0,90698","2,27336","665,293585","936,18684","0,484097"
341,16,8,"0,2","0,919247","11,414202","634,179949","1092,624144","0,631389"
342,16,8,"0,3","0,923054","35,754356","600,485778","1317,559372","0,741562"
343,16,8,"0,4","0,907902","105,284363","516,166909","858,284943","0,834861"
344,16,8,"0,5","0,845062","274,173981","402,508533","1832,015352","0,90191"
345,16,8,"0,6","0,733655","525,180847","260,326255","2248,767269","0,907083"
346,16,8,"0,7","0,661952","689,955933","206,797478","2360,612364","0,927986"
347,16,8,"0,8","0,586487","887,138184","144,352713","3390,422991","0,932778"
348,16,8,"0,9","0,541788","1026,908203","135,949253","4020,823301","0,945937"
349,16,8,1,"0,490409","1176,928711","114,291223","4475,082423","0,945486"
350,16,10,"0,1","0,955848","2,391438","827,54203","870,068191","0,479271"
351,16,10,"0,2","0,935056","11,377554","810,791833","1582,542014","0,601667"
352,16,10,"0,3","0,932695","37,361408","784,912542","1680,9416","0,724479"
353,16,10,"0,4","0,915236","118,756714","700,461831","1727,842054","0,828333"
354,16,10,"0,5","0,882814","313,291901","507,58366","1396,347726","0,923437"
355,16,10,"0,6","0,771937","565,769348","336,628744","2956,160892","0,937083"
356,16,10,"0,7","0,687306","745,52948","264,673434","3774,548086","0,955694"
357,16,10,"0,8","0,617007","946,430603","178,332365","3667,614018","0,959167"
358,16,10,"0,9","0,551504","1103,527954","157,680668","4910,532583","0,955625"
359,16,10,1,"0,503592","1264,407837","128,494491","4559,7941","0,954514"
